AK,188,650,626932,1165,593,572,,,,,
AL,878,540,4447100,1080,547,553,,,,,
AR,736,494,2673400,1116,563,553,,,,,
AZ,296,482,5130632,1208,614,594,,,,,
CA,112,352,33871648,1055,531,524,,,,,
CO,440,366,4301261,1201,606,595,,,,,
CT,1152,240,3405565,1041,530,512,,,,,
DE,1112,332,783600,996,503,492,,,,,
FL,1020,662,15982378,1017,520,497,,,,,
GA,956,534,8186453,1050,535,515,,,,,
HI,464,760,1211537,1085,544,541,,,,,
IA,714,294,2926324,1275,641,635,,,,,
ID,286,202,1293953,1005,513,493,,,,,
IL,810,336,12419293,1115,559,556,,,,,
IN,874,330,6080485,1074,542,532,,,,,
KS,604,388,2688418,1260,632,628,,,,,
KY,906,406,4041769,1247,631,616,,,,,
LA,742,604,4468976,1198,611,586,,,,,
MA,1162,216,6349097,1107,555,551,,,,,
MD,1076,324,5296486,1060,536,524,,,,,
ME,1190,118,1274923,1012,513,499,,,,,
MI,892,240,9938444,1005,509,495,,,,,
MN,678,172,4919479,1295,644,651,,,,,
MO,730,394,5595211,1271,640,631,,,,,
MS,812,548,2844658,1242,634,607,,,,,
MT,388,122,902195,1196,605,591,,,,,
NC,1038,442,8049313,1081,546,535,,,,,
ND,566,130,642200,1256,635,621,,,,,
NE,572,302,1711263,1253,629,625,,,,,
NH,1160,178,1235786,1052,532,520,,,,,
NJ,1122,286,8414350,1056,530,526,,,,,
NM,416,490,1819046,1138,557,561,,,,,
NV,204,314,1998257,1116,563,553,,,,,
NY,1082,214,18976457,1052,528,523,,,,,
OH,944,320,11353140,1149,578,570,,,,,
OK,618,478,3450654,1047,530,517,,,,,
OR,148,172,3421399,1108,560,548,,,,,
PA,1046,288,12281054,1071,540,531,,,,,
RI,1178,234,1048319,1062,539,524,,,,,
SC,1012,502,4012012,1064,543,521,,,,,
SD,572,218,754844,1216,612,603,,,,,
TN,882,458,5689283,1228,623,604,,,,,
TX,582,598,20851820,1020,513,507,,,,,
UT,308,342,2233169,1238,624,614,,,,,
VA,1058,378,7078515,1114,562,551,,,,,
VT,1134,172,608827,1102,561,541,,,,,
WA,184,76,5894121,1075,541,534,,,,,
WI,784,206,5363675,1291,642,649,,,,,
WV,992,356,1808344,1086,558,528,,,,,
WY,414,250,493782,1230,626,604,,,,,
